A_LOAD,A_LOAD_STATUS,A_OCCUPANCY,A_DISTANCE,A_WAITING_TIME,B_LOAD,B_LOAD_STATUS,B_OCCUPANCY,B_DISTANCE,B_WAITING_TIME,C_LOAD,C_LOAD_STATUS,C_OCCUPANCY,C_DISTANCE,C_WAITING_TIME,GRID_HEADROOM,GRID_STATUS,BATTERY,RECOMMENDED
34,GREEN,0,7.5,2.4,37,GREEN,0,6.9,5.3,31,GREEN,3,0.8,25.5,59.2,GREEN,44,A
84,YELLOW,0,5.8,9.3,89,RED,3,2.6,33.3,20,GREEN,1,7.1,9.4,22.8,YELLOW,34,A
47,GREEN,2,1.5,20.2,65,YELLOW,2,6.2,23.7,78,YELLOW,0,9.7,7.3,24.0,YELLOW,52,C
66,YELLOW,1,7.2,12.8,49,GREEN,2,9.9,22.3,32,GREEN,3,3.1,27.7,41.2,GREEN,61,B
40,GREEN,2,3.9,20.7,29,GREEN,1,5.6,9.9,79,YELLOW,3,3.1,33.6,40.8,GREEN,43,B
61,YELLOW,0,2.7,4.2,60,GREEN,3,3.0,28.8,92,RED,2,2.5,25.2,14.8,RED,73,A
38,GREEN,2,1.8,20.8,88,RED,2,7.6,24.5,94,RED,3,3.9,35.4,12.0,RED,32,A
85,YELLOW,3,1.4,30.7,34,GREEN,1,6.5,12.6,74,YELLOW,0,4.2,7.8,22.8,YELLOW,74,C
87,RED,2,9.7,26.1,21,GREEN,0,7.0,2.2,54,GREEN,2,1.6,21.1,35.2,GREEN,73,B
20,GREEN,2,9.7,19.0,84,YELLOW,0,8.8,7.6,84,YELLOW,1,2.0,17.5,24.8,YELLOW,15,B
61,YELLOW,3,0.7,31.8,59,GREEN,1,1.1,15.4,30,GREEN,0,7.5,4.3,40.0,GREEN,31,C
36,GREEN,3,9.5,26.3,87,RED,3,9.7,34.4,45,GREEN,2,4.3,21.2,32.8,GREEN,62,C
76,YELLOW,3,1.6,30.5,63,YELLOW,0,6.1,5.2,48,GREEN,0,1.2,5.3,25.2,YELLOW,44,C
28,GREEN,0,8.7,1.1,50,GREEN,2,6.9,19.9,36,GREEN,3,2.8,27.5,54.4,GREEN,67,A
44,GREEN,0,1.4,4.1,74,YELLOW,3,4.9,32.3,32,GREEN,0,4.3,2.6,40.0,GREEN,28,C
51,GREEN,1,2.3,12.9,74,YELLOW,1,3.1,14.4,29,GREEN,3,8.2,28.3,38.4,GREEN,27,A
26,GREEN,0,9.7,4.3,50,GREEN,1,4.4,12.9,71,YELLOW,0,2.1,5.1,41.2,GREEN,64,A
53,GREEN,3,3.2,30.1,91,RED,3,2.0,32.3,27,GREEN,0,7.6,0.9,31.6,GREEN,76,C
84,YELLOW,1,1.0,16.4,43,GREEN,0,6.2,5.0,50,GREEN,3,1.6,30.6,29.2,YELLOW,46,B
94,RED,0,6.4,9.1,94,RED,2,9.4,24.2,60,GREEN,1,3.0,12.5,0.8,RED,53,AVOID
78,YELLOW,2,9.3,25.5,21,GREEN,3,6.4,26.4,32,GREEN,0,5.6,3.2,47.6,GREEN,31,C
64,YELLOW,0,8.9,5.9,40,GREEN,3,8.4,28.8,87,RED,0,6.8,8.9,23.6,YELLOW,28,A
37,GREEN,2,1.6,18.1,90,RED,1,3.1,17.4,63,YELLOW,1,7.0,15.7,24.0,YELLOW,79,A
82,YELLOW,2,9.1,25.6,31,GREEN,3,8.4,25.3,62,YELLOW,1,6.6,13.2,30.0,YELLOW,71,C
90,RED,3,5.8,31.4,39,GREEN,0,8.4,4.2,38,GREEN,3,1.7,27.0,33.2,GREEN,20,B
65,YELLOW,1,7.0,15.2,65,YELLOW,3,9.8,31.5,50,GREEN,1,9.8,14.2,28.0,YELLOW,67,C
23,GREEN,1,7.5,9.6,72,YELLOW,1,3.0,16.3,33,GREEN,3,8.8,28.7,48.8,GREEN,43,A
45,GREEN,3,3.8,29.8,49,GREEN,1,0.7,11.7,62,YELLOW,2,8.7,24.1,37.6,GREEN,50,B
64,YELLOW,3,7.0,31.8,62,YELLOW,0,1.6,8.1,42,GREEN,2,0.9,20.6,32.8,GREEN,59,B
60,GREEN,3,6.3,30.0,69,YELLOW,1,2.9,15.7,20,GREEN,1,4.0,8.3,40.4,GREEN,57,C
60,GREEN,0,7.3,5.2,59,GREEN,3,3.6,30.7,90,RED,1,2.3,17.7,16.4,YELLOW,63,A
42,GREEN,2,4.4,21.5,58,GREEN,2,2.5,22.9,61,YELLOW,3,4.7,30.8,35.6,GREEN,80,A
80,YELLOW,1,6.8,15.1,62,YELLOW,0,8.3,7.2,59,GREEN,1,8.2,12.5,19.6,YELLOW,20,B
51,GREEN,3,6.3,30.2,78,YELLOW,3,8.9,32.1,69,YELLOW,3,4.3,29.5,20.8,YELLOW,15,AVOID
33,GREEN,3,2.6,28.5,86,RED,3,1.0,31.6,35,GREEN,3,1.8,27.4,38.4,GREEN,55,AVOID
76,YELLOW,3,8.4,31.8,40,GREEN,3,4.8,29.0,55,GREEN,3,6.5,28.6,31.6,GREEN,24,AVOID
56,GREEN,1,3.1,12.9,89,RED,0,1.8,7.8,39,GREEN,1,1.1,11.5,26.4,YELLOW,74,B
73,YELLOW,0,2.5,7.0,94,RED,0,8.6,10.5,68,YELLOW,3,0.6,30.2,6.0,RED,64,A
73,YELLOW,1,5.1,14.4,82,YELLOW,0,4.2,8.9,71,YELLOW,1,8.5,16.8,9.6,RED,18,B
70,YELLOW,0,1.3,6.7,79,YELLOW,1,1.0,15.4,47,GREEN,3,3.6,29.7,21.6,YELLOW,63,A
55,GREEN,3,2.9,27.8,22,GREEN,0,10.0,1.6,28,GREEN,0,7.7,4.6,58.0,GREEN,40,B
22,GREEN,1,2.8,10.1,34,GREEN,1,4.9,10.4,67,YELLOW,1,6.3,16.6,50.8,GREEN,29,A
40,GREEN,2,1.5,18.1,59,GREEN,3,4.3,30.8,29,GREEN,1,1.5,12.0,48.8,GREEN,30,C
92,RED,0,3.8,8.9,67,YELLOW,0,5.3,6.1,73,YELLOW,3,1.5,33.1,7.2,RED,73,B
39,GREEN,3,2.2,28.0,54,GREEN,3,4.9,30.7,95,RED,2,3.6,24.5,24.8,YELLOW,26,AVOID
55,GREEN,3,2.8,29.4,68,YELLOW,2,0.8,24.2,43,GREEN,3,2.5,29.5,33.6,GREEN,58,B
55,GREEN,2,5.8,21.6,44,GREEN,0,2.8,4.0,91,RED,1,7.1,17.7,24.0,YELLOW,77,B
77,YELLOW,0,1.4,6.6,51,GREEN,2,6.8,20.6,90,RED,2,4.5,26.0,12.8,RED,57,A
65,YELLOW,3,3.1,29.5,35,GREEN,1,3.5,12.5,43,GREEN,1,2.6,12.2,42.8,GREEN,51,B
32,GREEN,1,3.3,10.6,58,GREEN,0,7.2,4.3,25,GREEN,0,5.8,3.3,54.0,GREEN,31,C
82,YELLOW,0,8.8,8.5,80,YELLOW,3,4.7,30.7,26,GREEN,2,9.4,18.5,24.8,YELLOW,23,A
71,YELLOW,3,1.2,31.6,26,GREEN,1,1.9,10.9,58,GREEN,0,9.9,4.3,38.0,GREEN,68,C
48,GREEN,3,4.8,28.6,95,RED,3,3.4,34.0,32,GREEN,1,6.4,10.3,30.0,YELLOW,25,C
40,GREEN,1,2.2,10.3,20,GREEN,3,4.8,26.4,57,GREEN,0,2.7,6.5,53.2,GREEN,73,C
29,GREEN,1,9.3,12.1,95,RED,1,4.5,17.7,39,GREEN,2,8.4,18.2,34.8,GREEN,36,A
59,GREEN,2,4.7,21.8,58,GREEN,3,9.5,29.8,83,YELLOW,3,1.3,30.5,20.0,YELLOW,70,A
61,YELLOW,2,0.7,21.0,93,RED,0,10.0,10.0,54,GREEN,0,7.7,4.1,16.8,YELLOW,71,C
55,GREEN,1,10.0,13.2,82,YELLOW,0,5.0,7.8,61,YELLOW,0,8.6,5.4,20.8,YELLOW,78,C
56,GREEN,3,8.2,29.8,78,YELLOW,0,3.5,7.1,71,YELLOW,0,6.7,7.3,18.0,YELLOW,67,C
26,GREEN,1,5.4,11.1,83,YELLOW,3,7.7,31.1,90,RED,1,9.3,16.8,20.4,YELLOW,77,A
35,GREEN,0,9.7,3.9,50,GREEN,1,3.5,11.1,72,YELLOW,0,2.6,8.6,37.2,GREEN,29,A
79,YELLOW,0,6.7,6.5,57,GREEN,2,4.4,21.6,80,YELLOW,1,4.8,14.6,13.6,RED,39,A
85,YELLOW,1,8.7,15.6,73,YELLOW,2,9.4,23.3,20,GREEN,2,7.4,19.3,28.8,YELLOW,77,C
39,GREEN,3,5.6,27.3,90,RED,3,4.8,32.3,44,GREEN,1,5.9,11.3,30.8,GREEN,67,C
25,GREEN,2,7.6,19.3,68,YELLOW,3,9.9,32.0,39,GREEN,3,9.7,26.4,47.2,GREEN,57,A
32,GREEN,3,1.4,28.8,21,GREEN,1,4.4,10.7,39,GREEN,0,5.0,5.8,63.2,GREEN,58,C
70,YELLOW,0,8.6,8.4,88,RED,3,9.6,33.3,82,YELLOW,0,6.4,7.1,4.0,RED,51,AVOID
49,GREEN,0,4.6,3.3,32,GREEN,3,2.1,26.4,23,GREEN,0,3.6,0.5,58.4,GREEN,60,C
67,YELLOW,3,1.9,30.8,92,RED,1,2.1,15.5,68,YELLOW,1,5.2,15.1,9.2,RED,44,C
79,YELLOW,2,4.9,24.6,79,YELLOW,2,6.9,22.5,76,YELLOW,2,9.9,22.8,6.4,RED,69,C
52,GREEN,3,8.5,28.0,69,YELLOW,3,1.5,30.4,65,YELLOW,2,9.9,21.7,25.6,YELLOW,65,C
55,GREEN,0,5.9,6.2,26,GREEN,3,8.4,28.2,49,GREEN,2,2.6,19.7,48.0,GREEN,47,A
37,GREEN,0,9.1,4.3,59,GREEN,3,0.8,29.4,36,GREEN,0,9.1,2.9,47.2,GREEN,68,C
42,GREEN,1,1.8,12.4,66,YELLOW,2,8.4,21.6,81,YELLOW,2,7.6,23.5,24.4,YELLOW,29,A
79,YELLOW,0,1.8,9.8,70,YELLOW,2,1.4,22.6,53,GREEN,0,4.8,6.0,19.2,YELLOW,48,C
94,RED,3,8.3,35.2,33,GREEN,1,5.0,11.8,91,RED,2,9.2,24.0,12.8,RED,23,B
79,YELLOW,2,6.7,22.4,25,GREEN,0,3.4,2.5,32,GREEN,1,8.9,9.7,45.6,GREEN,73,B
67,YELLOW,3,6.1,31.6,73,YELLOW,0,8.4,7.8,55,GREEN,0,7.1,4.4,22.0,YELLOW,71,C
50,GREEN,2,1.4,21.7,89,RED,2,1.1,24.0,35,GREEN,3,1.4,26.3,30.4,GREEN,17,A
26,GREEN,2,2.8,17.1,92,RED,1,1.2,18.3,46,GREEN,1,8.2,11.5,34.4,GREEN,33,A
20,GREEN,2,8.7,16.6,36,GREEN,2,8.1,18.0,23,GREEN,1,0.6,11.5,68.4,GREEN,45,C
95,RED,2,0.6,24.6,36,GREEN,3,5.5,28.6,80,YELLOW,3,7.9,32.1,15.6,YELLOW,28,AVOID
77,YELLOW,1,9.5,13.9,86,RED,2,4.9,26.5,27,GREEN,3,8.5,26.4,24.0,YELLOW,28,A
82,YELLOW,3,1.2,30.5,38,GREEN,0,1.7,4.3,94,RED,2,4.1,25.8,14.4,RED,52,B
78,YELLOW,3,1.4,32.6,90,RED,1,4.6,18.6,72,YELLOW,2,8.4,22.8,4.0,RED,27,AVOID
60,GREEN,3,3.5,29.0,39,GREEN,3,1.1,29.2,31,GREEN,3,1.4,28.1,48.0,GREEN,31,AVOID
91,RED,0,6.1,9.3,62,YELLOW,0,4.4,7.7,74,YELLOW,0,9.7,7.8,9.2,RED,60,B
